#,number,registered,added,voted,Turnout Rate,GD Rate,valid,invalid,The Party of Georgian Unity and Development,Coalition for Changes Gvaramia Melia Girchi Droa,Unity-National Movement,European Democrats,Alliance of Patriots of Georgia,"Strong Georgia - Lelo, For People, For Liberty!",Georgian Labour Party,Our United Georgia,Change Georgia,Sakartvelo,Free Georgia,Tribune,Chven,Gakharia for Georgia,Left-Wing Alliance,Unity of Georgian,Girchi,Georgian Dream,dirty
1888,00.46.07,378,9,951,2.457364341,0.470284238,245,706,1,21,8,0,0,23,1,0,2,0,0,0,0,5,0,0,2,182,
2368,00.59.13,732,13,1527,2.04966443,0.959731544,1508,19,1,214,149,3,42,160,19,1,10,1,3,1,1,126,0,2,60,715,DIRTY
1087,00.22.54,872,6,999,1.137813212,0.322323462,383,616,0,34,24,4,2,10,2,0,0,0,0,0,0,23,0,1,0,283,
2279,00.57.13,262,6,285,1.063432836,0.410447761,181,104,1,9,24,1,5,18,0,0,2,0,1,0,0,8,0,0,2,110,
1967,00.48.23,487,8,518,1.046464646,0.434343434,335,183,1,14,40,4,10,33,1,0,3,1,1,0,0,7,0,0,5,215,
1008,00.21.28,711,13,724,1,0.389502762,425,299,0,16,34,0,11,41,4,1,0,0,1,0,0,26,0,1,8,282,
2563,00.64.06,527,11,538,1,0.286245353,310,228,0,58,38,1,6,18,0,1,1,0,2,0,0,26,1,0,4,154,
1758,00.41.12,691,3,691,0.995677233,0.436599424,369,322,0,6,36,0,1,7,0,1,2,0,0,0,6,4,0,1,2,303,
160,00.02.68,1456,13,1461,0.994554118,0.259360109,984,477,0,157,66,1,28,136,13,1,9,3,1,1,1,102,0,1,83,381,
1494,00.32.69,1157,8,1157,0.993133047,0.321888412,650,507,1,49,62,2,25,63,1,0,4,2,0,0,1,55,0,1,9,375,
642,00.10.76,0,413,407,0.985472155,0.801452785,403,4,0,9,20,2,4,12,1,1,0,0,1,1,1,19,0,0,1,331,
1371,00.28.37,230,10,230,0.958333333,0.279166667,121,109,0,17,15,0,2,9,0,0,0,0,0,0,0,10,0,0,1,67,
1761,00.41.15,56,38,89,0.946808511,0.712765957,87,2,0,2,12,0,0,2,0,0,0,0,0,0,0,4,0,0,0,67,
978,00.20.59,0,141,132,0.936170213,0.787234043,132,0,0,3,5,0,0,5,1,0,1,0,0,0,0,5,0,0,1,111,
1734,00.40.50,270,4,255,0.930656934,0.817518248,254,1,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,1,0,224,
815,00.16.12,270,4,249,0.908759124,0.748175182,249,0,0,0,12,0,26,6,0,0,0,0,0,0,0,0,0,0,0,205,
1732,00.40.48,149,0,135,0.906040268,0.825503356,135,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,
1656,00.38.11,254,1,231,0.905882353,0.68627451,212,19,0,1,13,0,0,8,0,0,0,0,0,0,15,0,0,0,0,175,DIRTY
819,00.16.16,418,5,378,0.893617021,0.697399527,318,60,1,0,6,0,8,5,0,0,0,0,0,1,0,1,0,0,1,295,
1101,00.22.68,189,14,180,0.886699507,0.827586207,178,2,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,168,
1916,00.47.12,57,9,58,0.878787879,0.742424242,54,4,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,
2609,00.65.16,360,2,316,0.872928177,0.76519337,315,1,0,12,14,0,0,5,1,0,0,0,0,1,1,4,0,0,0,277,
2978,00.82.19,96,6,89,0.87254902,0.539215686,83,6,0,7,13,0,0,6,0,0,1,0,0,0,0,0,1,0,0,55,
1102,00.22.70,862,6,753,0.867511521,0.627880184,741,12,0,8,104,0,0,81,0,0,0,0,0,1,0,1,0,0,1,545,
2214,00.55.24,93,2,82,0.863157895,0.578947368,82,0,0,10,4,0,2,2,0,0,0,0,0,0,0,6,0,0,3,55,
3003,00.82.44,159,4,140,0.858895706,0.680981595,139,1,0,2,17,0,0,4,0,0,0,0,0,0,0,4,0,0,1,111,
1939,00.47.35,77,4,69,0.851851852,0.814814815,68,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66,
998,00.21.18,560,7,479,0.844797178,0.638447972,433,46,1,7,13,0,0,14,2,0,2,1,1,1,0,23,1,0,5,362,
51,00.87.57,0,125,105,0.84,0.176,104,1,0,30,11,1,0,16,0,0,0,0,0,0,0,17,0,0,7,22,
